date,city,temp_max,temp_min,precipitation_sum
2024-01-01,Toronto,0.4,-3.1,0.7
2024-01-02,Toronto,3.0,-2.8,0.0
2024-01-03,Toronto,3.3,-0.9,0.3
2024-01-04,Toronto,0.7,-6.4,0.0
2024-01-05,Toronto,0.2,-3.5,0.0
2024-01-06,Toronto,1.8,-2.0,3.5
2024-01-07,Toronto,1.0,-4.3,2.5
2024-01-08,Toronto,3.7,-3.1,0.2
2024-01-09,Toronto,4.8,0.9,28.2
2024-01-10,Toronto,6.3,-0.6,4.5
2024-01-11,Toronto,2.2,-0.9,3.9
2024-01-12,Toronto,2.8,-3.5,8.6
2024-01-13,Toronto,5.8,-3.0,7.6
2024-01-14,Toronto,-3.1,-10.6,0.0
2024-01-15,Toronto,-7.4,-13.8,0.0
2024-01-16,Toronto,-5.8,-11.1,1.7
2024-01-17,Toronto,-7.3,-14.1,0.0
2024-01-18,Toronto,-2.8,-9.6,0.1
2024-01-19,Toronto,-6.3,-12.9,0.0
2024-01-20,Toronto,-7.2,-14.6,0.1
2024-01-21,Toronto,-1.3,-9.9,0.2
2024-01-22,Toronto,-0.3,-6.3,0.5
2024-01-23,Toronto,1.0,-3.2,6.5
2024-01-24,Toronto,2.2,0.7,8.9
2024-01-25,Toronto,3.7,0.5,0.9
2024-01-26,Toronto,6.8,1.2,26.9
2024-01-27,Toronto,4.8,-0.3,0.0
2024-01-28,Toronto,3.2,0.4,1.2
2024-01-29,Toronto,4.2,-2.2,0.0
2024-01-30,Toronto,2.5,-2.8,0.2
2024-01-31,Toronto,5.0,-2.0,0.0
2024-02-01,Toronto,4.9,1.5,0.3
2024-02-02,Toronto,2.9,-3.2,0.0
2024-02-03,Toronto,2.2,-5.4,0.0
2024-02-04,Toronto,4.5,-4.8,0.0
2024-02-05,Toronto,3.8,-2.5,0.0
2024-02-06,Toronto,2.5,-3.8,0.0
2024-02-07,Toronto,4.3,-1.6,0.0
2024-02-08,Toronto,4.8,-2.2,0.0
2024-02-09,Toronto,13.4,2.8,1.0
2024-02-10,Toronto,10.1,0.9,0.0
2024-02-11,Toronto,4.4,-2.0,0.0
2024-02-12,Toronto,3.5,-2.5,0.3
2024-02-13,Toronto,5.0,-4.0,0.9
2024-02-14,Toronto,0.8,-6.8,0.0
2024-02-15,Toronto,0.8,-6.8,5.4
2024-02-16,Toronto,-0.9,-3.8,0.9
2024-02-17,Toronto,-4.3,-7.6,0.1
2024-02-18,Toronto,1.0,-6.0,0.9
2024-02-19,Toronto,-1.7,-12.4,0.0
2024-02-20,Toronto,3.3,-5.9,0.0
2024-02-21,Toronto,8.2,-3.1,0.9
2024-02-22,Toronto,8.9,-0.9,2.3
2024-02-23,Toronto,10.5,-5.1,0.0
2024-02-24,Toronto,-3.2,-12.9,0.0
2024-02-25,Toronto,4.8,-7.2,0.8
2024-02-26,Toronto,6.9,-1.5,0.0
2024-02-27,Toronto,13.1,0.7,0.1
2024-02-28,Toronto,15.0,-4.7,6.5
2024-02-29,Toronto,-2.5,-6.1,0.0
2024-03-01,Toronto,7.2,-5.7,0.0
2024-03-02,Toronto,6.6,2.5,2.0
2024-03-03,Toronto,7.7,2.9,0.0
2024-03-04,Toronto,11.8,2.6,0.0
2024-03-05,Toronto,14.9,6.5,3.0
2024-03-06,Toronto,8.5,4.1,1.4
2024-03-07,Toronto,8.6,-0.1,0.2
2024-03-08,Toronto,7.1,1.5,2.2
2024-03-09,Toronto,9.4,4.6,13.5
2024-03-10,Toronto,4.1,-0.9,0.3
2024-03-11,Toronto,8.0,-1.5,0.0
2024-03-12,Toronto,11.1,0.0,0.0
2024-03-13,Toronto,19.2,5.3,0.5
2024-03-14,Toronto,11.1,1.1,16.5
2024-03-15,Toronto,11.6,2.3,1.2
2024-03-16,Toronto,8.9,-3.0,3.9
2024-03-17,Toronto,6.6,-0.9,0.2
2024-03-18,Toronto,4.1,-2.5,0.5
2024-03-19,Toronto,1.7,-1.8,1.2
2024-03-20,Toronto,1.2,-4.7,0.5
2024-03-21,Toronto,-0.4,-6.3,0.0
2024-03-22,Toronto,-2.3,-7.4,6.4
2024-03-23,Toronto,1.9,-5.3,1.5
2024-03-24,Toronto,0.8,-9.9,0.0
2024-03-25,Toronto,7.7,-0.9,0.0
2024-03-26,Toronto,8.9,3.9,5.0
2024-03-27,Toronto,10.7,3.5,2.5
2024-03-28,Toronto,8.9,-3.6,0.0
2024-03-29,Toronto,6.8,-2.3,0.0
2024-03-30,Toronto,6.1,-3.0,0.3
2024-03-31,Toronto,6.7,-0.4,0.0
2024-04-01,Toronto,10.2,0.4,0.0
2024-04-02,Toronto,5.6,4.1,3.8
2024-04-03,Toronto,5.8,1.4,44.8
2024-04-04,Toronto,3.7,0.1,7.6
2024-04-05,Toronto,6.1,-0.6,1.6
2024-04-06,Toronto,12.1,2.2,0.0
2024-04-07,Toronto,12.3,1.6,0.0
2024-04-08,Toronto,11.8,2.8,0.1
2024-04-09,Toronto,14.8,3.1,0.0
2024-04-10,Toronto,16.4,5.8,0.0
2024-04-11,Toronto,12.2,7.4,17.2
2024-04-12,Toronto,11.4,4.7,33.1
2024-04-13,Toronto,12.1,3.2,5.5
2024-04-14,Toronto,14.6,4.5,4.7
2024-04-15,Toronto,16.5,4.1,0.1
2024-04-16,Toronto,14.1,4.5,0.0
2024-04-17,Toronto,8.4,4.4,10.5
2024-04-18,Toronto,16.2,6.9,1.4
2024-04-19,Toronto,15.8,6.4,1.9
2024-04-20,Toronto,9.4,3.3,0.8
2024-04-21,Toronto,9.5,0.6,0.1
2024-04-22,Toronto,10.2,-0.8,0.0
2024-04-23,Toronto,15.9,6.6,3.7
2024-04-24,Toronto,9.3,1.4,2.9
2024-04-25,Toronto,6.8,-0.9,0.0
2024-04-26,Toronto,10.2,-2.1,0.0
2024-04-27,Toronto,15.4,6.0,7.8
2024-04-28,Toronto,20.4,11.9,2.9
2024-04-29,Toronto,11.9,7.6,7.9
2024-04-30,Toronto,14.2,8.1,9.6
2024-05-01,Toronto,14.1,6.0,0.0
2024-05-02,Toronto,16.7,10.0,0.0
2024-05-03,Toronto,14.9,8.6,2.2
2024-05-04,Toronto,16.5,11.1,0.0
2024-05-05,Toronto,18.0,10.9,11.0
2024-05-06,Toronto,18.7,8.1,0.0
2024-05-07,Toronto,17.5,7.1,0.5
2024-05-08,Toronto,20.3,9.2,1.5
2024-05-09,Toronto,14.2,7.2,0.3
2024-05-10,Toronto,15.3,7.6,0.2
2024-05-11,Toronto,14.9,6.2,2.5
2024-05-12,Toronto,16.2,7.8,0.9
2024-05-13,Toronto,21.8,9.4,0.7
2024-05-14,Toronto,19.7,12.1,4.1
2024-05-15,Toronto,18.7,11.0,0.3
2024-05-16,Toronto,19.4,10.4,0.0
2024-05-17,Toronto,17.6,11.5,6.9
2024-05-18,Toronto,19.7,12.3,0.1
2024-05-19,Toronto,20.2,11.4,0.0
2024-05-20,Toronto,23.6,11.4,0.5
2024-05-21,Toronto,26.0,14.9,2.1
2024-05-22,Toronto,24.7,14.4,6.8
2024-05-23,Toronto,24.5,14.6,0.0
2024-05-24,Toronto,23.1,13.9,0.0
2024-05-25,Toronto,19.0,12.1,3.6
2024-05-26,Toronto,20.7,11.6,0.0
2024-05-27,Toronto,23.4,14.8,34.3
2024-05-28,Toronto,20.0,13.6,1.4
2024-05-29,Toronto,19.5,11.4,0.2
2024-05-30,Toronto,18.8,8.6,0.0
2024-05-31,Toronto,21.0,9.1,0.0
2024-06-01,Toronto,21.5,8.0,0.0
2024-06-02,Toronto,18.1,14.0,3.6
2024-06-03,Toronto,21.3,15.1,1.2
2024-06-04,Toronto,23.3,13.9,0.0
2024-06-05,Toronto,23.0,15.8,2.8
2024-06-06,Toronto,23.9,17.2,3.3
2024-06-07,Toronto,20.1,14.6,4.8
2024-06-08,Toronto,21.0,12.4,2.3
2024-06-09,Toronto,18.3,11.4,6.4
2024-06-10,Toronto,17.4,11.1,0.6
2024-06-11,Toronto,16.1,10.4,0.0
2024-06-12,Toronto,20.6,11.1,0.0
2024-06-13,Toronto,27.5,15.8,8.9
2024-06-14,Toronto,24.0,15.2,0.2
2024-06-15,Toronto,21.5,12.7,0.0
2024-06-16,Toronto,20.6,12.1,0.0
2024-06-17,Toronto,28.5,14.3,0.2
2024-06-18,Toronto,29.5,20.0,0.1
2024-06-19,Toronto,30.1,21.2,0.0
2024-06-20,Toronto,27.2,21.5,15.9
2024-06-21,Toronto,24.5,20.1,3.2
2024-06-22,Toronto,22.5,17.9,5.6
2024-06-23,Toronto,27.5,17.9,3.6
2024-06-24,Toronto,27.4,16.6,0.0
2024-06-25,Toronto,24.5,15.1,4.1
2024-06-26,Toronto,28.4,17.6,6.5
2024-06-27,Toronto,22.1,14.1,0.0
2024-06-28,Toronto,21.8,11.1,0.1
2024-06-29,Toronto,27.1,17.2,10.9
2024-06-30,Toronto,22.0,14.6,0.1
2024-07-01,Toronto,23.9,11.3,0.0
2024-07-02,Toronto,23.1,12.7,0.0
2024-07-03,Toronto,27.4,19.2,5.1
2024-07-04,Toronto,28.0,18.0,0.1
2024-07-05,Toronto,27.2,18.1,3.1
2024-07-06,Toronto,27.2,18.5,1.5
2024-07-07,Toronto,25.5,15.9,0.2
2024-07-08,Toronto,26.9,16.2,0.0
